Wk,Tier,Groups,Store,Item_ID,Qty_,Price_
24,25,53,1973,16001,6.0,11.25
23,25,53,1973,16001,10.0,11.15
22,25,53,1973,16001,4.0,11.15
21,25,53,1973,16001,7.0,11.15
20,25,53,1973,16001,14.0,11.15
19,25,53,1973,16001,16.0,11.15
18,25,53,1973,16001,22.0,11.15
17,25,53,1973,16001,23.0,11.15
16,25,53,1973,16001,7.0,11.25
15,25,53,1973,16001,7.0,11.85
14,25,53,1973,16001,8.0,11.8
13,25,53,1973,16001,8.0,11.75
12,25,53,1973,16001,9.0,11.75
11,25,53,1973,16001,7.0,11.75
10,25,53,1973,16001,7.0,11.75
9,25,53,1973,16001,8.0,11.75
8,25,53,1973,16001,1.0,11.75
7,25,53,1973,16001,7.0,11.75
6,25,53,1973,16001,5.0,11.75
5,25,53,1973,16001,4.0,11.75
4,25,53,1973,16001,3.0,11.75
3,25,53,1973,16001,8.0,11.55
2,25,53,1973,16001,8.0,11.55
1,25,53,1973,16001,8.0,11.55
26,25,53,1973,16000,9.0,7.45
25,25,53,1973,16000,14.0,7.45
24,25,53,1973,16000,14.0,7.45
23,25,53,1973,16000,17.0,7.35
22,25,53,1973,16000,31.0,7.35
21,25,53,1973,16000,31.0,7.35
20,25,53,1973,16000,35.0,7.35
19,25,53,1973,16000,41.0,7.35
18,25,53,1973,16000,50.0,7.35
17,25,53,1973,16000,43.0,7.35
16,25,53,1973,16000,36.0,7.65
15,25,53,1973,16000,15.0,8.7
14,25,53,1973,16000,6.0,8.55
13,25,53,1973,16000,9.0,8.55
12,25,53,1973,16000,7.0,8.55
11,25,53,1973,16000,13.0,8.55
10,25,53,1973,16000,18.0,8.55
9,25,53,1973,16000,5.0,8.55
8,25,53,1973,16000,13.0,8.55
7,25,53,1973,16000,17.0,8.55
6,25,53,1973,16000,14.0,8.55
5,25,53,1973,16000,7.0,8.55
4,25,53,1973,16000,12.0,8.55
3,25,53,1973,16000,6.0,8.55
2,25,53,1973,16000,6.0,8.55
1,25,53,1973,16000,26.0,8.55
26,25,53,1973,7967,46.0,4.7
25,25,53,1973,7967,40.0,4.7
24,25,53,1973,7967,55.0,4.7
23,25,53,1973,7967,94.0,4.7
22,25,53,1973,7967,65.0,4.7
21,25,53,1973,7967,63.0,4.7
20,25,53,1973,7967,56.0,4.7
19,25,53,1973,7967,52.0,4.7
18,25,53,1973,7967,65.0,4.7
17,25,53,1973,7967,91.0,4.7
16,25,53,1973,7967,67.0,4.7
15,25,53,1973,7967,73.0,4.7
14,25,53,1973,7967,63.0,4.7
13,25,53,1973,7967,56.0,4.7
12,25,53,1973,7967,52.0,4.7
11,25,53,1973,7967,66.0,4.7
10,25,53,1973,7967,42.0,4.7
9,25,53,1973,7967,45.0,4.7
8,25,53,1973,7967,33.0,4.7
7,25,53,1973,7967,34.0,4.7
6,25,53,1973,7967,27.0,4.7
5,25,53,1973,7967,33.0,4.7
4,25,53,1973,7967,35.0,4.7
3,25,53,1973,7967,34.0,5.45
2,25,53,1973,7967,38.0,5.55
1,25,53,1973,7967,45.0,5.55
26,25,53,1973,7966,44.0,4.2
25,25,53,1973,7966,39.0,4.2
24,25,53,1973,7966,49.0,4.2
23,25,53,1973,7966,70.0,4.2
22,25,53,1973,7966,54.0,4.2
21,25,53,1973,7966,60.0,4.2
20,25,53,1973,7966,81.0,4.2
19,25,53,1973,7966,55.0,4.2
18,25,53,1973,7966,89.0,4.2
17,25,53,1973,7966,60.0,4.2
16,25,53,1973,7966,71.0,4.2
15,25,53,1973,7966,72.0,4.2
14,25,53,1973,7966,76.0,4.2
13,25,53,1973,7966,76.0,4.2
12,25,53,1973,7966,55.0,4.2
11,25,53,1973,7966,70.0,4.2
10,25,53,1973,7966,44.0,4.2
9,25,53,1973,7966,45.0,4.2
8,25,53,1973,7966,54.0,4.2
7,25,53,1973,7966,48.0,4.2
6,25,53,1973,7966,38.0,4.2
5,25,53,1973,7966,26.0,4.2
4,25,53,1973,7966,30.0,4.2
3,25,53,1973,7966,48.0,4.45
2,25,53,1973,7966,34.0,4.45
1,25,53,1973,7966,39.0,4.45
26,25,53,1973,7965,13.0,3.75
25,25,53,1973,7965,12.0,3.75
24,25,53,1973,7965,17.0,3.75
23,25,53,1973,7965,10.0,3.75
22,25,53,1973,7965,12.0,3.75
21,25,53,1973,7965,17.0,3.75
20,25,53,1973,7965,11.0,3.75
19,25,53,1973,7965,14.0,3.75
18,25,53,1973,7965,27.0,3.75
17,25,53,1973,7965,23.0,3.75
